HR,ElapsedTime
70,0
71,1
72,2
72.4,3
73,4
74.4,5
77,9
75,10
74,11
75,12
74.9,13
75,14
77,15
76,16
77,17
79,18
76,19
77,20
76,21
78,22
77,23
79,24
77,25
78,26
78,27
77,28
78,29
79,30
74,31
78,32
77,33
74,34
77,35
75,36
77,37
75,38
77,39
75,40
76,41
78,42
75,43
78,44
79,45
77,46
77,47
76,48
77,49
73,50
77,51
82,52
71,71
71,72
71,73
68,74
64,75
67,76
73,79
73,80
72,81
72,82
71,83
70,84
71,85
70,86
72,87
70,88
73,89
70,90
75,91
70,92
70,93
72,94
72,95
77,96
69,97
72,98
73,99
73,100
71,101
73,102
76,103
76,104
74,105
74,106
73,107
78,108
73,109
73,110
78,111
73,112
75,113
67,127
70,128
71,129
73,130
74,131
69,132
70,137
74,138
72,139
75,140
74,141
74,142
73,143
74,144
76,145
76,146
73,147
71,148
72,149
80,150
76,151
75,152
76,153
74,154
75,155
77,156
77,157
77,158
77,159
81,160
